1 {"point": 1, "value": 33, "remaining": 119, "spent": 1}
2 {"point": 2, "value": 183, "remaining": 118, "spent": 2}
3 {"point": 3, "value": 1137, "remaining": 117, "spent": 3}
4 {"point": 4, "value": 3526, "remaining": 116, "spent": 4}
5 {"point": 5, "value": 3381, "remaining": 115, "spent": 5}
6 {"point": 6, "value": 3775, "remaining": 114, "spent": 6}
7 {"point": 7, "value": 2758, "remaining": 113, "spent": 7}
8 {"point": 8, "value": 318, "remaining": 112, "spent": 8}
9 {"point": 9, "value": 1276, "remaining": 111, "spent": 9}
10 {"point": 10, "value": 2081, "remaining": 110, "spent": 10}
11 {"point": 11, "value": 2016, "remaining": 109, "spent": 11}
12 {"point": 12, "value": 465, "remaining": 108, "spent": 12}
13 {"point": 13, "value": 2324, "remaining": 107, "spent": 13}
14 {"point": 14, "value": 1472, "remaining": 106, "spent": 14}
15 {"point": 15, "value": 1925, "remaining": 105, "spent": 15}
16 {"point": 16, "value": 341, "remaining": 104, "spent": 16}
17 {"point": 17, "value": 2995, "remaining": 103, "spent": 17}
18 {"point": 18, "value": 2784, "remaining": 102, "spent": 18}
19 {"point": 19, "value": 954, "remaining": 101, "spent": 19}
20 {"point": 20, "value": 3089, "remaining": 100, "spent": 20}
21 {"point": 21, "value": 2854, "remaining": 99, "spent": 21}
22 {"point": 22, "value": 3681, "remaining": 98, "spent": 22}
23 {"point": 23, "value": 882, "remaining": 97, "spent": 23}
24 {"point": 24, "value": 3537, "remaining": 96, "spent": 24}
