n,f_mod_2003
1,23
2,125
3,767
4,1039
5,292
6,1131
7,1172
8,1990
9,1297
10,1225
11,1037
12,669
13,937
14,1330
15,1635
16,438
17,90
18,1717
19,1259
20,569
21,1284
22,891
23,1976
24,1049
25,1042
26,409
27,235
28,1773
29,777
30,582
31,1521
32,985
33,1945
34,768
35,886
36,744
37,852
38,908
39,1203
40,974
41,501
42,580
43,1288
44,700
45,1985
46,1144
47,1803
48,15
49,344
50,1122
51,1993
52,374
53,1947
54,1601
55,1162
56,32
57,1957
58,871
59,1664
60,352
61,624
62,851
63,1415
64,285
65,1177
66,1779
67,1085
68,1533
69,557
70,1419
71,490
72,1140
73,1110
74,1181
75,518
76,409
77,1224
78,1648
79,791
80,1344
81,835
82,156
83,49
84,1220
85,1156
86,1964
87,1373
88,528
89,483
90,1754
91,1388
92,1082
93,1702
94,307
95,1379
96,1334
97,405
98,72
99,227
100,758
101,810
102,194
103,954
104,1460
105,575
106,1129
107,1218
108,489
109,1345
110,1178
111,1562
112,897
113,204
114,1230
115,4
116,249
117,403
118,804
119,1580
120,919
121,46
122,1191
123,929
124,303
125,1548
126,1105
127,575
128,572
129,1657
130,552
131,768
132,94
133,836
134,377
135,235
136,442
137,1488
138,1592
139,696
140,1570
141,1084
142,1906
143,302
144,1051
145,162
146,1582
147,400
148,823
149,1833
150,1047
151,19
152,236
153,1961
154,633
155,1203
156,740
157,164
158,121
159,1772
160,1158
161,407
162,1785
163,1291
164,1464
165,1550
166,780
167,1289
168,516
169,124
170,419
171,1586
172,1052
173,1250
174,423
175,13
176,1262
177,329
178,824
179,1331
180,12
181,211
182,1858
183,128
184,319
185,502
186,324
187,710
188,296
189,68
190,473
191,1299
192,1054
193,1288
194,761
195,592
196,1957
197,1129
198,238
199,704
200,39
201,1630
202,1460
203,400
204,1382
205,1414
206,1142
207,1756
208,1590
209,1057
210,1216
211,1981
212,283
213,1289
214,938
215,338
216,1709
217,1980
218,1938
219,1836
220,1698
221,457
222,960
223,3
224,1903
225,940
226,1485
227,1119
228,35
229,887
230,123
231,630
232,1714
233,1907
234,1103
235,1028
236,1138
237,1810
238,211
239,154
240,1115
241,1907
242,1664
243,629
244,1391
245,701
246,1835
247,1626
248,1761
249,1491
250,1965
251,357
252,362
253,129
254,1700
255,270
256,1051
257,834
258,290
259,1410
260,2001
261,415
262,186
263,1157
264,1655
265,265
266,1946
267,1877
268,1940
269,13
270,1453
271,236
272,1892
273,1946
274,1761
275,780
276,864
277,272
278,600
279,288
280,295
281,908
282,882
283,1770
284,1181
285,679
286,16
287,1925
288,887
289,493
290,324
291,899
292,183
293,978
294,1931
295,775
296,1250
297,231
298,96
299,115
300,1137
301,943
302,1577
303,1976
304,664
305,1198
306,39
307,1271
308,1876
309,81
310,1474
311,1021
312,1289
313,1464
314,1592
315,1200
316,601
317,840
318,1788
319,240
320,906
321,14
322,1144
323,1131
324,1307
325,1337
326,1947
327,1408
328,1235
329,809
330,182
331,855
332,722
333,1283
334,1674
335,1815
336,1023
337,157
338,117
339,1879
340,309
341,1688
342,376
343,360
344,1713
345,1558
346,1640
347,1709
348,677
349,926
350,1052
351,1089
352,816
353,1315
354,20
355,627
356,1844
357,1267
358,1988
359,1285
360,1147
361,509
362,1033
363,1644
364,756
365,1078
366,913
367,513
368,1981
369,1025
370,697
371,1469
372,53
373,1729
374,153
375,1275
376,1525
377,493
378,947
379,1120
380,1328
381,1778
382,1910
383,1792
384,1846
385,858
386,1862
387,602
388,969
389,1054
390,206
391,1959
392,1243
393,1336
394,1278
395,748
396,672
397,1027
398,164
399,103
400,1592
401,1739
402,1985
403,1358
404,1940
405,897
406,278
407,1970
408,1844
409,1106
410,378
411,584
412,1908
413,807
414,50
415,1580
416,729
417,149
418,202
419,894
420,692
421,164
422,1129
423,1837
424,670
425,171
426,1661
427,1001
428,1168
429,674
430,239
431,254
432,1527
433,1924
434,1194
435,1581
436,751
437,348
438,1730
439,1980
440,1497
441,1432
442,910
443,1061
444,1515
445,881
446,1031
447,1824
448,595
449,1697
450,469
451,1101
452,1161
453,507
454,719
455,549
456,406
457,543
458,910
459,1703
460,1926
461,1524
462,833
463,362
464,148
465,1890
466,1771
467,53
468,1396
469,829
470,1007
471,673
472,1607
473,1937
474,1647
475,1832
476,1760
477,1161
478,689
479,536
480,906
481,1810
482,1077
483,802
484,1427
485,1434
486,397
487,1898
488,628
489,473
490,1557
491,1631
492,1640
493,176
494,1371
495,2002
496,1244
497,443
498,339
499,96
500,1853
501,490
502,38
503,105
504,252
505,315
506,1864
507,7
508,986
509,1701
510,310
511,1430
512,1781
513,1801
514,639
515,617
516,763
517,682
518,812
519,1810
520,1048
521,512
522,1139
523,638
524,488
525,1497
526,716
527,1762
528,581
529,856
530,365
531,1698
532,1303
533,1408
534,738
535,1848
536,979
537,1027
538,1729
539,1732
540,1041
541,77
542,942
543,1794
544,161
545,1993
546,525
547,1454
548,1512
549,610
550,387
551,1075
552,620
553,1652
554,1497
555,308
556,1688
557,397
558,570
559,1369
560,1720
561,469
562,618
563,337
564,407
565,999
566,1443
567,1463
568,351
569,829
570,919
571,1796
572,664
573,972
574,1785
575,1444
576,991
577,1619
578,1388
579,1914
580,7
581,1939
582,1216
583,1486
584,1342
585,241
586,267
587,1615
588,528
589,1410
590,1009
591,510
592,1938
593,658
594,1936
595,1536
596,743
597,1213
598,533
599,1890
600,1698
