n,f_n_mod_2003,equals_1403
1,23,0
2,125,0
3,767,0
4,1039,0
5,292,0
6,1131,0
7,1172,0
8,1990,0
9,1297,0
10,1225,0
11,1037,0
12,669,0
13,937,0
14,1330,0
15,1635,0
16,438,0
17,90,0
18,1717,0
19,1259,0
20,569,0
21,1284,0
22,891,0
23,1976,0
24,1049,0
25,1042,0
26,409,0
27,235,0
28,1773,0
29,777,0
30,582,0
31,1521,0
32,985,0
33,1945,0
34,768,0
35,886,0
36,744,0
37,852,0
38,908,0
39,1203,0
40,974,0
41,501,0
42,580,0
43,1288,0
44,700,0
45,1985,0
46,1144,0
47,1803,0
48,15,0
49,344,0
50,1122,0
51,1993,0
52,374,0
53,1947,0
54,1601,0
55,1162,0
56,32,0
57,1957,0
58,871,0
59,1664,0
60,352,0
61,624,0
62,851,0
63,1415,0
64,285,0
65,1177,0
66,1779,0
67,1085,0
68,1533,0
69,557,0
70,1419,0
71,490,0
72,1140,0
73,1110,0
74,1181,0
75,518,0
76,409,0
77,1224,0
78,1648,0
79,791,0
80,1344,0
81,835,0
82,156,0
83,49,0
84,1220,0
85,1156,0
86,1964,0
87,1373,0
88,528,0
89,483,0
90,1754,0
91,1388,0
92,1082,0
93,1702,0
94,307,0
95,1379,0
96,1334,0
97,405,0
98,72,0
99,227,0
100,758,0
101,810,0
102,194,0
103,954,0
104,1460,0
105,575,0
106,1129,0
107,1218,0
108,489,0
109,1345,0
110,1178,0
111,1562,0
112,897,0
113,204,0
114,1230,0
115,4,0
116,249,0
117,403,0
118,804,0
119,1580,0
120,919,0
121,46,0
122,1191,0
123,929,0
124,303,0
125,1548,0
126,1105,0
127,575,0
128,572,0
129,1657,0
130,552,0
131,768,0
132,94,0
133,836,0
134,377,0
135,235,0
136,442,0
137,1488,0
138,1592,0
139,696,0
140,1570,0
141,1084,0
142,1906,0
143,302,0
144,1051,0
145,162,0
146,1582,0
147,400,0
148,823,0
149,1833,0
150,1047,0
151,19,0
152,236,0
153,1961,0
154,633,0
155,1203,0
156,740,0
157,164,0
158,121,0
159,1772,0
160,1158,0
161,407,0
162,1785,0
163,1291,0
164,1464,0
165,1550,0
166,780,0
167,1289,0
168,516,0
169,124,0
170,419,0
171,1586,0
172,1052,0
173,1250,0
174,423,0
175,13,0
176,1262,0
177,329,0
178,824,0
179,1331,0
180,12,0
181,211,0
182,1858,0
183,128,0
184,319,0
185,502,0
186,324,0
187,710,0
188,296,0
189,68,0
190,473,0
191,1299,0
192,1054,0
193,1288,0
194,761,0
195,592,0
196,1957,0
197,1129,0
198,238,0
199,704,0
200,39,0
201,1630,0
202,1460,0
203,400,0
204,1382,0
205,1414,0
206,1142,0
207,1756,0
208,1590,0
209,1057,0
210,1216,0
211,1981,0
212,283,0
213,1289,0
214,938,0
215,338,0
216,1709,0
217,1980,0
218,1938,0
219,1836,0
220,1698,0
221,457,0
222,960,0
223,3,0
224,1903,0
225,940,0
226,1485,0
227,1119,0
228,35,0
229,887,0
230,123,0
231,630,0
232,1714,0
233,1907,0
234,1103,0
235,1028,0
236,1138,0
237,1810,0
238,211,0
239,154,0
240,1115,0
241,1907,0
242,1664,0
243,629,0
244,1391,0
245,701,0
246,1835,0
247,1626,0
248,1761,0
249,1491,0
250,1965,0
251,357,0
252,362,0
253,129,0
254,1700,0
255,270,0
256,1051,0
257,834,0
258,290,0
259,1410,0
260,2001,0
261,415,0
262,186,0
263,1157,0
264,1655,0
265,265,0
266,1946,0
267,1877,0
268,1940,0
269,13,0
270,1453,0
271,236,0
272,1892,0
273,1946,0
274,1761,0
275,780,0
276,864,0
277,272,0
278,600,0
279,288,0
280,295,0
281,908,0
282,882,0
283,1770,0
284,1181,0
285,679,0
286,16,0
287,1925,0
288,887,0
289,493,0
290,324,0
291,899,0
292,183,0
293,978,0
294,1931,0
295,775,0
296,1250,0
297,231,0
298,96,0
299,115,0
300,1137,0
301,943,0
302,1577,0
303,1976,0
304,664,0
305,1198,0
306,39,0
307,1271,0
308,1876,0
309,81,0
310,1474,0
311,1021,0
312,1289,0
313,1464,0
314,1592,0
315,1200,0
316,601,0
317,840,0
318,1788,0
319,240,0
320,906,0
321,14,0
322,1144,0
323,1131,0
324,1307,0
325,1337,0
326,1947,0
327,1408,0
328,1235,0
329,809,0
330,182,0
331,855,0
332,722,0
333,1283,0
334,1674,0
335,1815,0
336,1023,0
337,157,0
338,117,0
339,1879,0
340,309,0
341,1688,0
342,376,0
343,360,0
344,1713,0
345,1558,0
346,1640,0
347,1709,0
348,677,0
349,926,0
350,1052,0
351,1089,0
352,816,0
353,1315,0
354,20,0
355,627,0
356,1844,0
357,1267,0
358,1988,0
359,1285,0
360,1147,0
361,509,0
362,1033,0
363,1644,0
364,756,0
365,1078,0
366,913,0
367,513,0
368,1981,0
369,1025,0
370,697,0
371,1469,0
372,53,0
373,1729,0
374,153,0
375,1275,0
376,1525,0
377,493,0
378,947,0
379,1120,0
380,1328,0
381,1778,0
382,1910,0
383,1792,0
384,1846,0
385,858,0
386,1862,0
387,602,0
388,969,0
389,1054,0
390,206,0
391,1959,0
392,1243,0
393,1336,0
394,1278,0
395,748,0
396,672,0
397,1027,0
398,164,0
399,103,0
400,1592,0
401,1739,0
402,1985,0
403,1358,0
404,1940,0
405,897,0
406,278,0
407,1970,0
408,1844,0
409,1106,0
410,378,0
411,584,0
412,1908,0
413,807,0
414,50,0
415,1580,0
416,729,0
417,149,0
418,202,0
419,894,0
420,692,0
421,164,0
422,1129,0
423,1837,0
424,670,0
425,171,0
426,1661,0
427,1001,0
428,1168,0
429,674,0
430,239,0
431,254,0
432,1527,0
433,1924,0
434,1194,0
435,1581,0
436,751,0
437,348,0
438,1730,0
439,1980,0
440,1497,0
441,1432,0
442,910,0
443,1061,0
444,1515,0
445,881,0
446,1031,0
447,1824,0
448,595,0
449,1697,0
450,469,0
451,1101,0
452,1161,0
453,507,0
454,719,0
455,549,0
456,406,0
457,543,0
458,910,0
459,1703,0
460,1926,0
461,1524,0
462,833,0
463,362,0
464,148,0
465,1890,0
466,1771,0
467,53,0
468,1396,0
469,829,0
470,1007,0
471,673,0
472,1607,0
473,1937,0
474,1647,0
475,1832,0
476,1760,0
477,1161,0
478,689,0
479,536,0
480,906,0
481,1810,0
482,1077,0
483,802,0
484,1427,0
485,1434,0
486,397,0
487,1898,0
488,628,0
489,473,0
490,1557,0
491,1631,0
492,1640,0
493,176,0
494,1371,0
495,2002,0
496,1244,0
497,443,0
498,339,0
499,96,0
500,1853,0
501,490,0
502,38,0
503,105,0
504,252,0
505,315,0
506,1864,0
507,7,0
508,986,0
509,1701,0
510,310,0
511,1430,0
512,1781,0
513,1801,0
514,639,0
515,617,0
516,763,0
517,682,0
518,812,0
519,1810,0
520,1048,0
521,512,0
522,1139,0
523,638,0
524,488,0
525,1497,0
526,716,0
527,1762,0
528,581,0
529,856,0
530,365,0
531,1698,0
532,1303,0
533,1408,0
534,738,0
535,1848,0
536,979,0
537,1027,0
538,1729,0
539,1732,0
540,1041,0
541,77,0
542,942,0
543,1794,0
544,161,0
545,1993,0
546,525,0
547,1454,0
548,1512,0
549,610,0
550,387,0
551,1075,0
552,620,0
553,1652,0
554,1497,0
555,308,0
556,1688,0
557,397,0
558,570,0
559,1369,0
560,1720,0
561,469,0
562,618,0
563,337,0
564,407,0
565,999,0
566,1443,0
567,1463,0
568,351,0
569,829,0
570,919,0
571,1796,0
572,664,0
573,972,0
574,1785,0
575,1444,0
576,991,0
577,1619,0
578,1388,0
579,1914,0
580,7,0
581,1939,0
582,1216,0
583,1486,0
584,1342,0
585,241,0
586,267,0
587,1615,0
588,528,0
589,1410,0
590,1009,0
591,510,0
592,1938,0
593,658,0
594,1936,0
595,1536,0
596,743,0
597,1213,0
598,533,0
599,1890,0
600,1698,0
