L 8 states 119 targets 1828
L8_shell_m1 N 8 {'U': 5.125, 'G': 3.0, 'GH': 3.0, 'W': 3.0, 'M': 3.0, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.708, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=0s
L8_shell_m2 N 28 {'U': 4.643, 'G': 3.607, 'GH': 3.429, 'W': 3.786, 'M': 3.714, 'O': 3.464, 'RH': 3.321} | rel vs G: {'U': -0.287, 'GH': 0.05, 'W': -0.05, 'M': -0.03, 'O': 0.04, 'RH': 0.079} | RH O-calls 11 | t=100s
L8_shell_m6 N 28 {'U': 5.357, 'G': 3.857, 'GH': 3.464, 'W': 3.786, 'M': 3.786, 'O': 3.464, 'RH': 3.429} | rel vs G: {'U': -0.389, 'GH': 0.102, 'W': 0.019, 'M': 0.019, 'O': 0.102, 'RH': 0.111} | RH O-calls 16 | t=203s
L8_shell_m7 N 8 {'U': 4.125, 'G': 3.0, 'GH': 3.0, 'W': 3.0, 'M': 3.0, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.375, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=204s
L8_prod2_a1_b7_uA0_uB1 N 7 {'U': 4.143, 'G': 3.0, 'GH': 2.857, 'W': 2.857, 'M': 2.857, 'O': 2.857, 'RH': 3.0} | rel vs G: {'U': -0.381, 'GH': 0.048, 'W': 0.048, 'M': 0.048, 'O': 0.048, 'RH': 0.0} | RH O-calls 0 | t=205s
L8_prod2_a1_b7_uA0_uB2 N 21 {'U': 4.762, 'G': 3.476, 'GH': 3.429, 'W': 3.524, 'M': 3.524, 'O': 3.286, 'RH': 3.333} | rel vs G: {'U': -0.37, 'GH': 0.014, 'W': -0.014, 'M': -0.014, 'O': 0.055, 'RH': 0.041} | RH O-calls 7 | t=207s
L8_prod2_a1_b7_uA0_uB3 N 35 {'U': 5.314, 'G': 3.714, 'GH': 3.6, 'W': 3.571, 'M': 3.571, 'O': 3.514, 'RH': 3.714} | rel vs G: {'U': -0.431, 'GH': 0.031, 'W': 0.038, 'M': 0.038, 'O': 0.054, 'RH': 0.0} | RH O-calls 3 | t=270s
L8_prod2_a1_b7_uA0_uB4 N 35 {'U': 5.0, 'G': 3.457, 'GH': 3.6, 'W': 3.571, 'M': 3.571, 'O': 3.514, 'RH': 3.457} | rel vs G: {'U': -0.446, 'GH': -0.041, 'W': -0.033, 'M': -0.033, 'O': -0.017, 'RH': 0.0} | RH O-calls 0 | t=321s
L8_prod2_a1_b7_uA0_uB5 N 21 {'U': 4.81, 'G': 3.667, 'GH': 3.286, 'W': 3.524, 'M': 3.524, 'O': 3.286, 'RH': 3.429} | rel vs G: {'U': -0.312, 'GH': 0.104, 'W': 0.039, 'M': 0.039, 'O': 0.104, 'RH': 0.065} | RH O-calls 6 | t=336s
L8_prod2_a1_b7_uA0_uB6 N 7 {'U': 4.0, 'G': 2.857, 'GH': 3.0, 'W': 2.857, 'M': 2.857, 'O': 2.857, 'RH': 2.857} | rel vs G: {'U': -0.4, 'GH': -0.05, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=337s
L8_prod2_a1_b7_uA1_uB1 N 7 {'U': 3.571, 'G': 3.0, 'GH': 2.857, 'W': 2.857, 'M': 2.857, 'O': 2.857, 'RH': 3.0} | rel vs G: {'U': -0.19, 'GH': 0.048, 'W': 0.048, 'M': 0.048, 'O': 0.048, 'RH': 0.0} | RH O-calls 0 | t=337s
L8_prod2_a1_b7_uA1_uB2 N 21 {'U': 4.857, 'G': 3.714, 'GH': 3.19, 'W': 3.524, 'M': 3.524, 'O': 3.286, 'RH': 3.571} | rel vs G: {'U': -0.308, 'GH': 0.141, 'W': 0.051, 'M': 0.051, 'O': 0.115, 'RH': 0.038} | RH O-calls 7 | t=352s
L8_prod2_a1_b7_uA1_uB3 N 35 {'U': 5.143, 'G': 3.629, 'GH': 3.8, 'W': 3.571, 'M': 3.571, 'O': 3.514, 'RH': 3.6} | rel vs G: {'U': -0.417, 'GH': -0.047, 'W': 0.016, 'M': 0.016, 'O': 0.031, 'RH': 0.008} | RH O-calls 2 | t=416s
L8_prod2_a1_b7_uA1_uB4 N 35 {'U': 5.314, 'G': 3.657, 'GH': 3.4, 'W': 3.571, 'M': 3.571, 'O': 3.514, 'RH': 3.657} | rel vs G: {'U': -0.453, 'GH': 0.07, 'W': 0.023, 'M': 0.023, 'O': 0.039, 'RH': 0.0} | RH O-calls 2 | t=481s
L8_prod2_a1_b7_uA1_uB5 N 21 {'U': 4.524, 'G': 3.333, 'GH': 3.048, 'W': 3.524, 'M': 3.524, 'O': 3.286, 'RH': 3.143} | rel vs G: {'U': -0.357, 'GH': 0.086, 'W': -0.057, 'M': -0.057, 'O': 0.014, 'RH': 0.057} | RH O-calls 6 | t=483s
L8_prod2_a1_b7_uA1_uB6 N 7 {'U': 4.714, 'G': 3.0, 'GH': 2.714, 'W': 2.857, 'M': 2.857, 'O': 2.857, 'RH': 3.0} | rel vs G: {'U': -0.571, 'GH': 0.095, 'W': 0.048, 'M': 0.048, 'O': 0.048, 'RH': 0.0} | RH O-calls 0 | t=483s
L8_prod2_a2_b6_uA0_uB1 N 6 {'U': 3.333, 'G': 2.5, 'GH': 2.833, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.5} | rel vs G: {'U': -0.333, 'GH': -0.133, 'W': -0.067, 'M': -0.067, 'O': -0.067, 'RH': 0.0} | RH O-calls 0 | t=484s
L8_prod2_a2_b6_uA0_uB2 N 15 {'U': 3.8, 'G': 3.2, 'GH': 3.067, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.2} | rel vs G: {'U': -0.187, 'GH': 0.042, 'W': 0.042, 'M': 0.042, 'O': 0.063, 'RH': 0.0} | RH O-calls 5 | t=485s
L8_prod2_a2_b6_uA0_uB3 N 20 {'U': 4.8, 'G': 3.15, 'GH': 3.1, 'W': 3.2, 'M': 3.1, 'O': 3.1, 'RH': 3.05} | rel vs G: {'U': -0.524, 'GH': 0.016, 'W': -0.016, 'M': 0.016, 'O': 0.016, 'RH': 0.032} | RH O-calls 9 | t=487s
L8_prod2_a2_b6_uA0_uB4 N 15 {'U': 5.0, 'G': 3.2, 'GH': 3.067, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.267} | rel vs G: {'U': -0.562, 'GH': 0.042, 'W': 0.042, 'M': 0.042, 'O': 0.063, 'RH': -0.021} | RH O-calls 5 | t=488s
L8_prod2_a2_b6_uA0_uB5 N 6 {'U': 2.667, 'G': 2.833, 'GH': 2.667, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.833} | rel vs G: {'U': 0.059, 'GH': 0.059, 'W': 0.059, 'M': 0.059, 'O': 0.059, 'RH': 0.0} | RH O-calls 0 | t=488s
