L 9 states 114 targets 1458
L9_shell_m1 N 9 {'U': 4.0, 'G': 3.333, 'GH': 3.222, 'W': 3.222, 'M': 3.222, 'O': 3.222, 'RH': 3.333} | rel vs G: {'U': -0.2, 'GH': 0.033, 'W': 0.033, 'M': 0.033, 'O': 0.033, 'RH': 0.0} | RH O-calls 0 | t=2s
L9_shell_m8 N 9 {'U': 4.333, 'G': 3.111, 'GH': 3.222, 'W': 3.222, 'M': 3.222, 'O': 3.222, 'RH': 3.111} | rel vs G: {'U': -0.393, 'GH': -0.036, 'W': -0.036, 'M': -0.036, 'O': -0.036, 'RH': 0.0} | RH O-calls 0 | t=5s
L9_prod2_a1_b8_uA0_uB1 N 8 {'U': 4.625, 'G': 3.0, 'GH': 3.0, 'W': 3.0, 'M': 3.0, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.542, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=6s
L9_prod2_a1_b8_uA0_uB2 N 28 {'U': 4.893, 'G': 3.786, 'GH': 3.464, 'W': 3.786, 'M': 3.786, 'O': 3.464, 'RH': 3.5} | rel vs G: {'U': -0.292, 'GH': 0.085, 'W': 0.0, 'M': 0.0, 'O': 0.085, 'RH': 0.075} | RH O-calls 10 | t=191s
L9_prod2_a1_b8_uA0_uB6 N 28 {'U': 4.464, 'G': 3.929, 'GH': 3.5, 'W': 3.786, 'M': 3.786, 'O': 3.464, 'RH': 3.714} | rel vs G: {'U': -0.136, 'GH': 0.109, 'W': 0.036, 'M': 0.036, 'O': 0.118, 'RH': 0.055} | RH O-calls 11 | t=385s
L9_prod2_a1_b8_uA0_uB7 N 8 {'U': 3.625, 'G': 3.0, 'GH': 3.0, 'W': 3.0, 'M': 3.0, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.208, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=388s
L9_prod2_a1_b8_uA1_uB1 N 8 {'U': 3.625, 'G': 3.0, 'GH': 3.0, 'W': 3.0, 'M': 3.0, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.208, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=390s
L9_prod2_a1_b8_uA1_uB2 N 28 {'U': 4.714, 'G': 3.929, 'GH': 3.393, 'W': 3.786, 'M': 3.786, 'O': 3.464, 'RH': 3.714} | rel vs G: {'U': -0.2, 'GH': 0.136, 'W': 0.036, 'M': 0.036, 'O': 0.118, 'RH': 0.055} | RH O-calls 13 | t=603s
L9_prod2_a1_b8_uA1_uB6 N 28 {'U': 5.429, 'G': 3.857, 'GH': 3.536, 'W': 3.786, 'M': 3.786, 'O': 3.464, 'RH': 3.679} | rel vs G: {'U': -0.407, 'GH': 0.083, 'W': 0.019, 'M': 0.019, 'O': 0.102, 'RH': 0.046} | RH O-calls 10 | t=816s
L9_prod2_a1_b8_uA1_uB7 N 8 {'U': 4.625, 'G': 3.0, 'GH': 3.0, 'W': 3.0, 'M': 3.0, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.542, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=817s
L9_prod2_a2_b7_uA0_uB1 N 7 {'U': 4.143, 'G': 3.0, 'GH': 2.714, 'W': 2.857, 'M': 2.857, 'O': 2.857, 'RH': 3.0} | rel vs G: {'U': -0.381, 'GH': 0.095, 'W': 0.048, 'M': 0.048, 'O': 0.048, 'RH': 0.0} | RH O-calls 0 | t=817s
