cell         reg branch      s  held  vocab Kdx2  dlyx2 Kx2   floor persist tape  ops/ep  ERASE_ALL ERASE_REGS ERASE_TAPE SCR_LOC RESET_IP slope   class
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A_remember   S0  B1_naive    1  0.042 0.083 0.062 0.021 0.021 0.007 regs    64    1084.7  0.000     0.000      0.000      0.000   0.000   -0.008 NO_ADAPTATION
A_remember   S0  B1_naive    2  0.188 0.125 0.083 0.229 0.156 0.007 all     256   4400.3  0.104     0.104      0.000      0.000   -0.021   0.003 UNRESOLVED
A_remember   S0  B1_naive    3  0.125 0.021 0.062 0.042 0.031 0.007 regs    256   281.2   0.000     0.000      0.000      0.000   0.000   0.000 UNRESOLVED
A_remember   S1p B2_transfer 1  0.104 0.083 0.042 0.104 0.031 0.007 none    1024  67.8    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
A_remember   S1p B2_transfer 2  0.167 0.146 0.125 0.208 0.177 0.007 regs    128   203.3   0.042     0.042      0.000      0.000   0.000   0.027 UNRESOLVED
A_remember   S1p B2_transfer 3  0.125 0.021 0.062 0.042 0.031 0.007 none    256   70.3    0.000     0.000      0.000      0.000   0.000   0.000 UNRESOLVED
B_update     S0  B1_naive    1  0.021 0.021 0.042 0.062 0.042 0.013 regs    512   386.9   0.000     0.000      0.000      0.000   0.000   -0.003 NO_ADAPTATION
B_update     S0  B1_naive    2  0.062 0.042 0.083 0.083 0.073 0.013 all     256   3373.3  0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
B_update     S0  B1_naive    3  0.062 0.083 0.042 0.042 0.052 0.013 all     64    27157.3 0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
B_update     S1p B2_transfer 1  0.062 0.083 0.000 0.167 0.031 0.013 none    64    51.6    0.000     0.000      0.000      0.000   0.000   0.005 NO_ADAPTATION
B_update     S1p B2_transfer 2  0.000 0.062 0.083 0.083 0.062 0.013 none    512   52.7    0.000     0.000      0.000      0.000   0.000   0.027 NO_ADAPTATION
B_update     S1p B2_transfer 3  0.333 0.333 0.271 0.271 0.104 0.013 regs    256   127.6   0.312     0.312      0.000      0.000   0.000   0.005 UNRESOLVED
D_bind2      S0  B1_naive    1  0.031 0.052 0.073 0.042 0.073 0.016 all     128   327.8   0.000     0.000      0.000      0.000   0.000   0.004 NO_ADAPTATION
D_bind2      S0  B1_naive    2  0.062 0.042 0.042 0.073 0.062 0.016 regs    256   481.3   0.000     0.000      0.000      0.000   0.000   -0.001 NO_ADAPTATION
D_bind2      S0  B1_naive    3  0.052 0.021 0.021 0.062 0.078 0.016 regs    128   341.0   0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1p B2_transfer 1  0.031 0.052 0.073 0.042 0.073 0.016 none    128   57.6    0.000     0.000      0.000      0.000   0.000   -0.003 NO_ADAPTATION
D_bind2      S1p B2_transfer 2  0.062 0.073 0.052 0.031 0.068 0.016 none    128   1021.9  0.000     0.000      0.000      0.000   0.042   0.011 NO_ADAPTATION
D_bind2      S1p B2_transfer 3  0.083 0.073 0.042 0.083 0.052 0.016 none    256   139.1   0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
