cell            regime seed  R_train R_held  R_K2x  R_D2x  floor persist tape ops/ep  ERASE_ALL ERASE_REGS ERASE_TAPE SCR_LOC SCR_VAL RESET_IP class
------------------------------------------------------------------------------------------------------------------------------------------------------
W0              E0     1    1.000   1.000   0.250  0.000  0.000 regs    256  128.0   1.000     1.000      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W0              E0     2    1.000   1.000   0.500  0.021  0.000 regs    128  303.0   1.000     1.000      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W0              E0     3    0.000   0.000   0.000  0.000  0.000 none    64   26.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W0              E1     1    0.000   0.000   0.000  0.000  0.000 none    128  2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W0              E1     2    0.042   0.000   0.000  0.000  0.000 none    512  17.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W0              E1     3    0.000   0.000   0.000  0.000  0.000 none    32   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W10_dag6        E0     1    0.000   0.000     -      -    0.000 all     16   448.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W10_dag6        E0     2    0.000   0.000     -      -    0.000 all     256  7.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W10_dag6        E0     3    0.000   0.000     -      -    0.000 all     16   25.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W10_dag6        E1     1    0.000   0.000     -      -    0.000 none    64   7.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W10_dag6        E1     2    0.000   0.000     -      -    0.000 none    256  7.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W10_dag6        E1     3    0.000   0.000     -      -    0.000 none    16   7.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d1           E0     1    1.000   1.000   0.219  0.000  0.000 all     128  34.0    1.000     1.000      0.000      0.000   0.000   0.000   UNRESOLVED
W1_d1           E0     2    1.000   1.000   0.490  0.000  0.000 regs    128  609.0   1.000     1.000      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W1_d1           E0     3    0.000   0.000   0.000  0.000  0.000 regs    1024 33.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d1           E1     1    0.000   0.000   0.000  0.000  0.000 none    256  3.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d1           E1     2    0.000   0.000   0.000  0.000  0.000 none    256  3.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d1           E1     3    0.000   0.000   0.000  0.000  0.000 none    128  3.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d16          E0     1    1.000   1.000   0.500  0.000  0.000 all     64   9216.0  1.000     1.000      0.000      0.000   0.000   0.000   UNRESOLVED
W1_d16          E0     2    0.042   0.000   0.010  0.000  0.000 tape    64   144.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d16          E0     3    0.000   0.000   0.010  0.000  0.000 all     1024 1152.0  0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d16          E1     1    0.000   0.000   0.000  0.000  0.000 none    64   18.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d16          E1     2    0.000   0.000   0.000  0.000  0.000 none    256  18.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d16          E1     3    0.000   0.000   0.000  0.000  0.000 none    32   18.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d4           E0     1    0.042   0.000   0.000  0.000  0.007 all     64   96.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d4           E0     2    0.000   0.000   0.000  0.000  0.007 tape    128  192.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d4           E0     3    0.042   0.000   0.010  0.000  0.007 regs    1024 96.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d4           E1     1    0.000   0.000   0.000  0.000  0.007 none    64   6.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d4           E1     2    0.000   0.000   0.000  0.000  0.007 none    256  6.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W1_d4           E1     3    0.000   0.000   0.000  0.000  0.007 none    16   6.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K2           E0     1    0.500   0.500   0.250  0.000  0.003 regs    128  256.0   0.500     0.500      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W2_K2           E0     2    0.229   0.281   0.073  0.000  0.003 all     128  256.0   0.219     0.219      0.000      0.000   0.000   0.000   UNRESOLVED
W2_K2           E0     3    0.000   0.010   0.016  0.000  0.003 regs    128  98.0    0.000     0.000      0.000      0.000   0.000   0.010   NO_ADAPTATION
W2_K2           E1     1    0.000   0.000   0.000  0.000  0.003 none    256  4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K2           E1     2    0.000   0.000   0.000  0.000  0.003 none    512  4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K2           E1     3    0.000   0.000   0.000  0.000  0.003 none    64   4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K4           E0     1    0.250   0.255   0.000  0.005  0.000 all     128  109.0   0.146     0.146      0.000      0.000   0.000   0.120   UNRESOLVED
W2_K4           E0     2    0.260   0.255   0.133  0.000  0.000 all     128  234.0   0.141     0.141      0.000      0.000   0.000   0.000   UNRESOLVED
W2_K4           E0     3    0.010   0.000   0.005  0.000  0.000 regs    256  128.0   -0.005     -0.005      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K4           E1     1    0.000   0.000   0.000  0.000  0.000 none    1024 8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K4           E1     2    0.000   0.000   0.000  0.000  0.000 none    128  8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K4           E1     3    0.000   0.000   0.000  0.000  0.000 none    128  8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K8           E0     1    0.010   0.008   0.003  0.000  0.000 none    128  4096.0  0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K8           E0     2    0.010   0.005   0.004  0.000  0.000 regs    256  160.0   0.005     0.005      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K8           E0     3    0.130   0.125   0.064  0.000  0.000 regs    128  1024.0  0.052     0.052      0.000      0.000   0.000   0.000   UNRESOLVED
W2_K8           E1     1    0.010   0.008   0.003  0.000  0.000 none    512  272.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K8           E1     2    0.000   0.000   0.000  0.000  0.000 none    16   16.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W2_K8           E1     3    0.000   0.003   0.008  0.000  0.000 none    256  32.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K2           E0     1    0.708   0.562   0.271  0.000  0.007 regs    256  48.0    0.521     0.521      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W3_K2           E0     2    0.583   0.479   0.208  0.000  0.007 regs    64   42.0    0.458     0.458      0.000      0.000   0.000   0.458   TRIVIAL_RECURRENCE
W3_K2           E0     3    0.042   0.000   0.000  0.000  0.007 all     64   1536.0  0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K2           E1     1    0.000   0.000   0.000  0.000  0.007 none    128  3.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K2           E1     2    0.000   0.000   0.000  0.000  0.007 none    256  3.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K2           E1     3    0.000   0.000   0.000  0.000  0.007 none    64   3.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K4           E0     1    0.000   0.000   0.000  0.000  0.000 tape    64   1280.0  0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K4           E0     2    0.292   0.271   0.208  0.000  0.000 regs    128  45.0    0.229     0.229      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W3_K4           E0     3    0.333   0.229   0.083  0.000  0.000 all     128  149.0   0.250     0.250      0.000      0.000   0.000   0.250   UNRESOLVED
W3_K4           E1     1    0.000   0.000   0.000  0.000  0.000 none    64   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K4           E1     2    0.000   0.000   0.000  0.000  0.000 none    128  5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K4           E1     3    0.000   0.000   0.000  0.000  0.000 none    256  5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K8           E0     1    0.000   0.021   0.000  0.000  0.000 regs    256  2304.0  0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K8           E0     2    0.167   0.146   0.062  0.000  0.000 regs    128  205.0   0.104     0.104      0.000      0.000   0.000   0.104   TRIVIAL_RECURRENCE
W3_K8           E0     3    0.000   0.042   0.000  0.000  0.000 regs    32   72.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K8           E1     1    0.000   0.000   0.000  0.000  0.000 none    64   9.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K8           E1     2    0.042   0.000   0.000  0.000  0.000 none    256  36.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W3_K8           E1     3    0.000   0.000   0.000  0.000  0.000 none    32   9.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E0     1    0.000   0.000   0.000  0.000  0.000 all     16   640.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E0     2    0.000   0.000   0.000  0.000  0.000 all     256  10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E0     3    0.000   0.000   0.000  0.000  0.000 all     16   37.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E1     1    0.000   0.000   0.000  0.000  0.000 none    64   10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E1     2    0.000   0.000   0.000  0.000  0.000 none    256  10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E1     3    0.000   0.000   0.000  0.000  0.000 none    16   10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E2     1    0.000   0.000   0.000  0.000  0.000 none    64   10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E2     2    0.000   0.000   0.000  0.000  0.000 none    256  10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E2     3    0.000   0.000   0.000  0.000  0.000 none    16   10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E3     1    0.000   0.000   0.000  0.000  0.000 none    64   10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E3     2    0.000   0.000   0.000  0.000  0.000 none    256  10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W4_K2_D4_int    E3     3    0.000   0.000   0.000  0.000  0.000 none    16   10.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W5_K4_D4        E0     1    0.000   0.000   0.000  0.000  0.000 all     16   1280.0  0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W5_K4_D4        E0     2    0.000   0.000   0.000  0.000  0.000 all     256  20.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W5_K4_D4        E0     3    0.000   0.000   0.000  0.000  0.000 all     16   77.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W5_K4_D4        E1     1    0.000   0.000   0.000  0.000  0.000 none    64   20.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W5_K4_D4        E1     2    0.000   0.000   0.000  0.000  0.000 none    256  20.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W5_K4_D4        E1     3    0.000   0.000   0.000  0.000  0.000 none    16   20.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E0     1    0.000   0.000   0.000    -    0.000 all     16   128.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E0     2    0.000   0.000   0.000    -    0.000 all     256  2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E0     3    0.000   0.000   0.000    -    0.000 all     16   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E1     1    0.000   0.000   0.000    -    0.000 none    64   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E1     2    0.000   0.000   0.000    -    0.000 none    256  2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E1     3    0.000   0.000   0.000    -    0.000 none    16   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E2     1    0.000   0.000   0.000    -    0.000 none    64   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E2     2    0.000   0.000   0.000    -    0.000 none    256  2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E2     3    0.000   0.000   0.000    -    0.000 none    16   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E3     1    0.000   0.000   0.000    -    0.000 none    64   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E3     2    0.000   0.000   0.000    -    0.000 none    256  2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f1_n8        E3     3    0.000   0.000   0.000    -    0.000 none    16   2.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E0     1    0.000   0.000   0.000    -    0.000 all     16   320.0   0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E0     2    0.000   0.000   0.000    -    0.000 all     256  5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E0     3    0.000   0.000   0.000    -    0.000 all     16   17.0    0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E1     1    0.000   0.000   0.000    -    0.000 none    64   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E1     2    0.000   0.000   0.000    -    0.000 none    256  5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E1     3    0.000   0.000   0.000    -    0.000 none    16   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E2     1    0.000   0.000   0.000    -    0.000 none    64   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E2     2    0.000   0.000   0.000    -    0.000 none    256  5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E2     3    0.000   0.000   0.000    -    0.000 none    16   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E3     1    0.000   0.000   0.000    -    0.000 none    64   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E3     2    0.000   0.000   0.000    -    0.000 none    256  5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W6_f4_n8        E3     3    0.000   0.000   0.000    -    0.000 none    16   5.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W7_K2           E0     1    0.229   0.177   0.000  0.010  0.000 regs    128  64.0    0.156     0.156      0.000      0.000   0.000   0.000   TRIVIAL_RECURRENCE
W7_K2           E0     2    0.000   0.000   0.000  0.000  0.000 regs    64   42.0    -0.010     -0.010      0.000      0.000   0.000   0.000   NO_ADAPTATION
W7_K2           E0     3    0.021   0.010   0.005  0.000  0.000 all     128  128.0   0.021     0.021      0.000      0.000   0.000   0.000   NO_ADAPTATION
W7_K2           E1     1    0.000   0.000   0.000  0.000  0.000 none    32   4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W7_K2           E1     2    0.000   0.000   0.000  0.000  0.000 none    256  4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W7_K2           E1     3    0.000   0.000   0.000  0.000  0.000 none    16   4.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
W8_K2_D3        E0     1    0.354   0.375     -      -    0.001 regs    32   64.0    0.000     0.000      0.000      0.000   0.000   0.000   UNRESOLVED
W8_K2_D3        E0     2    0.375   0.240     -      -    0.001 all     128  128.0   0.000     0.000      0.000      0.000   0.000   0.000   UNRESOLVED
W8_K2_D3        E0     3    0.333   0.365     -      -    0.001 all     128  176.0   0.000     0.000      0.000      0.000   0.000   0.000   UNRESOLVED
W8_K2_D3        E1     1    0.000   0.000     -      -    0.001 none    128  8.0     0.000     0.000      0.000      0.000   0.000   0.000   NO_ADAPTATION
