| Name | Year | What it measures | Classical-or-open |
|---|---|---|---|
| One-level density (even orthogonal) | 1999 | Density of low zeros against SO(even) kernel | classical |
| One-level density (odd orthogonal) | 1999 | Density of low zeros against SO(odd) kernel | classical |
| One-level density (full orthogonal O) | 1999 | Density against O-symmetry kernel for sign-mixed families | classical |
| Two-level density | 2001 | Correlations of pairs of low zeros in a family | classical |
| n-level density (n≥3) | 2005 | Joint statistics of n lowest zeros | classical |
| Pair correlation of high zeros (Montgomery) | 1973 | GUE pair correlation for zeros of a single L-function | classical |
| Number variance of zeros in intervals | 1988 | Variance of zero count in windows up height T | classical |
| Nearest-neighbor spacing distribution | 1990s | Consecutive zero-gap distribution vs GUE | classical |
| Lowest-zero distribution (Miller) | 2006 | Distribution of the first zero above central point | classical |
| Excised orthogonal ensemble | 2012 | Lowest-zero repulsion from s=1/2 at finite conductor | classical |
| Discretisation/quantisation of central values | 2006 | L(1/2,E) integer-valued discretization effect | classical |
| CFKRS moments conjecture for quadratic twists | 2005 | Integer moments of L(1/2,E_d) | classical |
| Ratios conjecture (one-level) | 2007 | Lower-order terms in 1-level density via ratios | classical |
| Ratios conjecture (n-level) | 2008 | Lower-order structure in n-level densities | classical |
| Arithmetic lower-order terms (Miller) | 2009 | a_p^2-corrections to 1-level density at finite conductor | classical |
| Huynh–Keating–Snaith excised model | 2009 | Finite-conductor corrections for rank-0 quadratic twist family | classical |
| Dueñez–Huynh–Keating–Miller–Snaith (DHKMS) | 2012 | Effective matrix-size model for finite-conductor zero repulsion | classical |
| Projection by rank (r=0,1,2,≥3) | 2005- | Zero statistics stratified by analytic rank | classical (r≤1) / open (r≥2) |
| Projection by root number (w=±1) | 2001 | Separating SO(even) vs SO(odd) sub-families | classical |
| Projection by CM vs non-CM | 2010s | Zero stats under CM restriction (unitary-symplectic vs orthogonal) | classical |
| Projection by reduction type at bad primes | 2015- | Split/nonsplit multiplicative, additive stratification of zero stats | open |
| Projection by Atkin–Lehner eigenvalue pattern | 2010s | Joint w_p pattern stratification of zero densities | open |
| Projection by conductor dyadic window | 2010s | Zero stats in N∈[X,2X] as function of X | classical |
| Projection by isogeny class size | 2015- | Zero stats vs #isogeny class | open |
| Projection by Tamagawa product | 2015- | Zero stats vs ∏c_p | open |
| Projection by Sha order (BSD-predicted) | 2015- | Zero stats vs predicted |Sha| | open |
| Sato–Tate vertical projection (fixed E, varying p) | 2011 | a_p/(2√p) distribution along one curve | classical |
| Murmuration correlation | 2023 | Correlation between a_p and rank across conductor windows | open |
| One-parameter family zero density (Miller families) | 2004 | 1-level density for rational-parameter EC families | classical |
| Family symmetry-type classification | 2005 | Determining O/SO(even)/SO(odd)/Sp for a given EC family | classical |
| Mean-square of L(1/2,E) over twists | 2000 | Second moment asymptotic with power-saving | classical |
| Third and fourth moments of quadratic twists | 2013 | Higher moments of L(1/2,E_d) | classical |
| Zero repulsion from s=1/2 conditional on rank | 2012 | Distribution of 2nd zero given rank | classical |
| Density of first zero conditional on w=+1, L(1/2)≠0 | 2009 | Excised first-zero law | classical |
| Low-lying zero statistics for Symmetric square L-functions of E | 2010s | 1-level density for Sym²(E) family (symplectic) | classical |
| Compound stratification (rank × CM × w) | 2015- | Joint sub-family zero statistics | open |
| Finite-height GUE corrections (log-conductor scaling) | 2010s | 1/log N lower-order terms in bulk zero statistics | classical |
| Zero-density near height zero vs bulk comparison | 2010s | Transition from orthogonal edge to GUE bulk | classical |
| Murmuration of zeros (1st zero vs conductor) | 2024 | Oscillation of mean first-zero height with N | open |
| Cross-family universality tests | 2020s | Comparing 1-level densities across EC, modular form, Maass families | classical |
