| Name | Year | Resolves |
|------|------|----------|
| j-invariant | 1800s | isomorphism class over algebraic closure |
| Discriminant | 1800s | singularity of Weierstrass model |
| Conductor | 1960s | primes of bad reduction with ramification data |
| Mordell-Weil rank | 1922 | rank of rational points group |
| Torsion subgroup | 1900s | finite order rational points |
| Regulator | 1960s | covolume of Mordell-Weil lattice |
| Tate-Shafarevich group | 1960s | failure of Hasse principle for principal homogeneous spaces |
| Tamagawa numbers | 1960s | local component groups at bad primes |
| Real period | 1960s | integral of invariant differential over real points |
| L-function | 1950s | global arithmetic via Euler product |
| Analytic rank | 1960s | order of vanishing of L at s=1 |
| Selmer group (p-Selmer) | 1960s | p-descent obstruction bounding rank |
| Faltings height | 1983 | archimedean size of associated abelian variety |
| Naive/Weil height of coefficients | 1970s | size of defining equation |
| Szpiro ratio | 1980s | log-discriminant vs log-conductor comparison |
| Kodaira symbols | 1964 | geometric type of singular fiber |
| Néron model type | 1964 | integral model structure |
| Frey curve invariants | 1980s | modularity-obstruction signature |
| Modular degree | 1990s | degree of optimal modular parametrization |
| Manin constant | 1972 | normalization discrepancy in modular parametrization |
| Iwasawa λ-invariant | 1970s | rank growth in cyclotomic tower |
| Iwasawa μ-invariant | 1970s | p-divisibility in Selmer tower |
| p-adic L-function | 1970s | p-adic analytic continuation of L-values |
| p-adic regulator | 1980s | p-adic height pairing covolume |
| Mahler measure of defining polynomial | 1970s | logarithmic height of equation |
| Canonical (Néron-Tate) height | 1965 | quadratic form on Mordell-Weil |
| Galois representation image (mod ℓ) | 1972 | Serre openness and exceptional primes |
| Adelic Galois image | 1970s | joint ℓ-adic representation structure |
| Isogeny class | 1970s | Q-isogenous curves and isogeny graph |
| CM discriminant | 1900s | endomorphism ring for CM curves |
| Endomorphism ring | 1940s | extra multiplications structure |
| Supersingular locus invariants | 1970s | Hasse invariant vanishing in char p |
| Hasse-Weil zeta function | 1950s | point counts over finite fields |
| a_p trace of Frobenius | 1930s | local point count deviation |
| Sato-Tate distribution | 1960s | equidistribution of normalized a_p |
| Congruence number | 1990s | modular form congruence measure |
| Heegner index | 1980s | index of Heegner point in Mordell-Weil |
| Kolyvagin index | 1989 | Euler system bound on Sha |
| BSD rank (algebraic) | 1965 | conjectural Mordell-Weil rank via L |
| Root number | 1960s | sign of functional equation |
| Parity of rank | 1990s | rank mod 2 from local root numbers |
| Ogg's formula quantity | 1967 | conductor exponent from reduction |
| Silverman's height difference bound | 1990 | gap between naive and canonical heights |
| Lang-Trotter constants | 1976 | frequency of fixed Frobenius traces |
| Néron differential periods (complex) | 1960s | lattice generators of period lattice |
| Cremona label / isogeny class size | 1990s | database-theoretic classification |
| Stevens' optimal curve | 1989 | minimal modular degree in isogeny class |
| Watkins' modular degree bound | 2002 | bounds linking rank and modular degree |
| Goldfeld-Szpiro quotient | 1990s | Sha size bound via Szpiro |
| Bloch-Kato Tamagawa number | 1990s | motivic refinement of local factors |
