pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"Kepler-6 b","Kepler-6",3.23469960000,0.0485200000,,88.93000,0.66800000,1.30400000,1460.00,1.209000,1.391000,5647.00,587.03900000,2009
"Kepler-491 b","Kepler-491",4.22538451200,,,,,0.79578910,,1.040000,1.030000,5582.00,630.78500000,2016
"Kepler-257 b","Kepler-257",2.38266700000,0.0340000000,,,,0.23300000,,,1.037000,5180.00,780.25600000,2014
"Kepler-216 b","Kepler-216",7.69364100000,0.0790000000,,,,0.21000000,,,1.260000,6091.00,1187.47000000,2014
"Kepler-32 c","Kepler-32",8.75220000000,0.0900000000,,,0.50000000,0.17800000,,0.580000,0.530000,3900.00,323.84700000,2011
"Kepler-259 c","Kepler-259",36.92493100000,0.2170000000,,,,0.24100000,,,0.898000,5938.00,1002.14000000,2014
"Kepler-148 c","Kepler-148",4.18004300000,0.0500000000,,,,0.32100000,,,0.851000,5272.00,791.16300000,2014
"Kepler-222 d","Kepler-222",28.08191200000,0.1800000000,,,,0.32900000,,,0.869000,5433.00,758.85400000,2014
"Kepler-29 c","Kepler-29",13.28613000000,,0.000000,,0.01415851,0.20876082,,0.761000,0.732000,5378.00,832.53200000,2011
"Kepler-179 b","Kepler-179",2.73592600000,0.0360000000,,,,0.14600000,,,0.759000,5302.00,605.68000000,2014
"Kepler-165 c","Kepler-165",15.31299000000,0.1100000000,,,,0.19900000,,,0.770000,5211.00,560.88500000,2014
"Kepler-228 c","Kepler-228",4.13444400000,0.0520000000,,,,0.24100000,,,1.014000,6043.00,1644.61000000,2014
"Kepler-20 c","Kepler-20",10.85407740000,0.0936000000,0.076000,89.81500,0.03492451,0.25818583,828.00,0.929000,0.916400,5495.00,282.56300000,2011
"Kepler-166 d","Kepler-166",1.55400392800,,,,,0.15434026,,0.880000,0.830000,5350.00,603.53000000,2016
"Kepler-52 b","Kepler-52",7.87735650000,,,,0.42475750,0.18700000,,0.540000,0.520000,4075.00,321.54200000,2012
"Kepler-197 d","Kepler-197",15.67756300000,0.1190000000,,,,0.10900000,,,1.120000,6004.00,330.57500000,2014
"K2-183 d","K2-183",22.62034400000,,,89.90000,,0.20519261,,,0.870000,5482.00,329.04100000,2018
"K2-187 e","K2-187",13.60662900000,,,90.10000,,0.16950694,,,0.830000,5438.00,330.91600000,2018
"K2-187 c","K2-187",2.87151200000,,,90.40000,,0.12489985,,,0.830000,5438.00,330.91600000,2018
"K2-270 b","K2-270",1.54306900000,0.0247000000,,,,0.12311535,1203.00,0.850000,0.770000,4877.00,280.51800000,2018
"Kepler-184 d","Kepler-184",29.02235800000,0.1790000000,,,,0.22200000,,,0.873000,5788.00,610.32600000,2014
"Kepler-257 d","Kepler-257",24.66455100000,0.1600000000,,,,0.44200000,,,1.037000,5180.00,780.25600000,2014
"K2-280 b","K2-280",19.89526000000,0.1461000000,0.350000,89.53000,0.11672965,0.66910634,787.00,1.030000,1.280000,5500.00,391.53700000,2018
"K2-381 c","K2-381",16.03465600000,,,,,0.17842836,,0.754000,0.675000,4473.00,145.70100000,2022
"Kepler-222 c","Kepler-222",10.08881000000,0.0910000000,,,,0.41400000,,,0.869000,5433.00,758.85400000,2014
"HATS-36 b","HATS-36",4.17518600000,0.0523000000,,,,1.15264520,1203.00,1.100000,1.100000,5950.00,856.43600000,2018
"Kepler-229 b","Kepler-229",6.25297200000,0.0620000000,,,,0.19600000,,,0.728000,5120.00,826.26500000,2014
"K2-222 b","K2-222",15.38857000000,0.1206000000,0.160000,89.12000,0.02737326,0.20965332,871.00,0.989000,1.115000,5942.00,101.32100000,2018
"K2-214 b","K2-214",8.59656000000,,,,,0.22392759,1001.00,1.030000,1.236000,5875.00,300.64000000,2018
"K2-220 b","K2-220",13.68186000000,,,,,0.21143760,761.00,0.910000,1.026000,5612.00,233.51400000,2018
"K2-216 b","K2-216",2.17480000000,0.0280000000,0.000000,86.90000,0.02517069,0.15612454,1103.00,0.700000,0.720000,4503.00,115.46100000,2018
