name,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source,final_mass_source,luminosity_distance,redshift,network_matched_filter_snr,chi_eff
GW240109_050431-v1,28.8,18.1,19.6,47.1,45.1,1510.0,0.29,10.4,-0.07
GW240107_013215-v1,59.0,32.0,36.2,91.0,87.0,5800.0,0.87,9.6,0.3
GW240105_151143-v1,,,,,,,,25.9,
GW240104_164932-v1,42.3,32.1,31.8,74.3,70.6,1910.0,0.35,14.8,0.09
GW231231_154016-v1,22.5,17.2,17.1,39.9,38.1,1070.0,0.21,13.4,-0.03
GW231231_120147-v1,,,,,,,,11.3,
GW231230_170116-v1,54.0,35.0,36.9,89.0,85.0,5700.0,0.87,8.2,-0.19
GW231226_101520-v1,40.1,35.0,32.4,74.8,71.4,1180.0,0.23,34.7,-0.09
GW231224_024321-v1,9.3,7.3,7.13,16.66,15.89,950.0,0.19,14.0,-0.01
GW231223_202619-v1,11.1,8.3,8.36,19.6,18.7,890.0,0.18,10.0,0.1
GW231223_075055-v1,11.9,6.8,7.79,19.0,18.1,970.0,0.19,9.4,0.06
GW231223_032836-v1,46.0,31.0,31.8,76.0,73.0,4200.0,0.67,10.2,-0.15
GW231221_135041-v1,47.0,28.0,30.7,76.0,72.0,4600.0,0.73,10.0,0.01
GW231220_173406-v1,,,,,,,,7.9,
GW231213_111417-v1,35.5,27.2,26.7,62.5,59.5,4000.0,0.65,10.4,0.06
GW231206_233901-v1,37.6,28.4,28.1,66.0,63.1,1490.0,0.28,21.9,-0.05
GW231206_233134-v1,35.6,28.1,27.2,63.5,60.6,3200.0,0.54,12.8,-0.09
GW231206_010629-v1,,,,,,,,9.7,
GW231204_090648-v1,,,,,,,,8.4,
GW231129_081745-v1,45.0,23.8,27.7,69.0,66.0,3800.0,0.63,9.4,0.02
GW231127_165300-v1,45.0,29.0,30.5,74.0,71.0,4500.0,0.71,9.9,0.05
GW231126_010928-v1,,,,,,,,9.1,
GW231123_135430-v2,137.0,101.0,101.0,236.0,222.0,2200.0,0.39,21.8,0.31
GW231120_022103-v1,,,,,,,,10.0,
GW231119_075248-v1,49.0,33.0,34.4,82.0,79.0,6700.0,0.99,8.3,
GW231118_090602-v1,13.1,7.3,8.37,20.7,19.7,1350.0,0.26,11.0,0.08
