query_name,sc_class,aflow_auid,aflow_compound,aflow_sg,aflow_pearson,aflow_lattice,aflow_geometry,aflow_Hf,source
BaFe2As2,Ferrite,,As1Ba1Fe2,166,hR4,rhombohedral,"[6.22053, 6.22053, 6.22053, 38.716, 38.716, 38.716]",0.009537,AFLOW
BaFe2As2,Ferrite,,As2Ba1Fe1,10,mP4,monoclinic,"[4.31833, 4.42289, 6.36696, 46.3233, 90, 90]",0.523156,AFLOW
BaFe2As2,Ferrite,,As1Ba1Fe2,139,tI8,tetragonal,"[4.78643, 4.78643, 4.78643, 120.484, 120.484, 89.1632]",0.617296,AFLOW
BaFe2As2,Ferrite,,As2Ba1Fe2,139,tI10,tetragonal,"[6.59778, 6.59778, 6.59778, 144.09, 144.09, 51.6921]",,AFLOW
BaFe2As2,Ferrite,,As1Ba1Fe1,156,hP3,hexagonal,"[4.10009, 4.10009, 4.97912, 90, 90, 120]",-0.237501,AFLOW
BaFe2As2,Ferrite,,As1Ba2Fe1,166,hR4,rhombohedral,"[8.43622, 8.43622, 8.43622, 33.056, 33.056, 33.056]",0.0522167,AFLOW
BaFe2As2,Ferrite,,As1Ba2Fe1,216,cF16,cubic,"[5.31722, 5.31722, 5.31722, 60, 60, 60]",0.500838,AFLOW
BaFe2As2,Ferrite,,As2Ba1Fe1,65,oS8,orthorhombic,"[4.62656, 4.62656, 4.17786, 90, 90, 97.4478]",0.528805,AFLOW
BaFe2As2,Ferrite,,As1Ba1Fe2,65,oS8,orthorhombic,"[3.11443, 3.11443, 7.34473, 90, 90, 90.4974]",0.646252,AFLOW
BaFe2As2,Ferrite,,As1Ba2Fe1,160,hR4,rhombohedral,"[9.1626, 9.1626, 9.1626, 26.4721, 26.4721, 26.4721]",-0.253148,AFLOW
BaFe2As2,Ferrite,,As1Ba2Fe1,65,oS8,orthorhombic,"[4.07768, 4.07768, 7.97626, 90, 90, 92.2841]",0.0154053,AFLOW
BaFe2As2,Ferrite,,As2Ba1Fe1,71,oI8,orthorhombic,"[5.43628, 5.43628, 5.43628, 136.975, 106.709, 88.9361]",-0.257358,AFLOW
BaFe2As2,Ferrite,,As1Ba2Fe1,99,tP4,tetragonal,"[3.58539, 3.58539, 9.47096, 90, 90, 90.0149]",0.194168,AFLOW
