query_formula,query_elements,sc_class,mp_spacegroup,mp_tc,cod_id,cod_formula,cod_spacegroup,cod_sg_number,cod_a,cod_b,cod_c,cod_vol,cod_year
C60Ca5,C-Ca,Carbon,C m m m,8.4,1010500,- C4 Ca2 -,P n -3 :1,201,5.73,5.73,5.73,188.1,1926
C60Ca5,C-Ca,Carbon,C m m m,8.4,1540818,- C2 Ca -,C -1,2,8.42,11.84,3.94,391.725,1962
C60Ca5,C-Ca,Carbon,C m m m,8.4,1541428,- C2 Ca -,F m -3 m,225,5.886,5.886,5.886,203.92,1971
C60Ca5,C-Ca,Carbon,C m m m,8.4,5910074,- C2 Ca -,I 4/m m m,139,3.87,3.87,6.37,95.403,1931
C8.1K1,C-K,Carbon,F d d d,0.152,1521141,- C2 K2 -,I 41/a c d :2,142,7.569,7.569,14.521,831.905,1999
C8.1K1,C-K,Carbon,F d d d,0.152,1521143,- C2 K2 -,F m -3 m,225,7.553,7.553,7.553,430.882,1999
C8.1K1,C-K,Carbon,F d d d,0.152,1537184,- C K -,C 1 c 1,9,7.96,4.59,9.18,273.736,1983
C8.1K1,C-K,Carbon,F d d d,0.152,1537188,- C K -,C 1 c 1,9,7.47,4.53,8.97,256.568,1983
C8.1K1,C-K,Carbon,F d d d,0.152,1537192,- C K -,C 1 c 1,9,8.02,4.21,10.4,267.412,1983
C2Ce1,C-Ce,Carbon,I -4 3 d,0.0,1528322,- C2 Ce -,I 4/m m m,139,3.875,3.875,6.477,97.256,1967
C2Ce1,C-Ce,Carbon,I -4 3 d,0.0,1528829,- C82 Ce -,P a -3,205,15.78,15.78,15.78,3929.35,2004
C2Ce1,C-Ce,Carbon,I -4 3 d,0.0,5910098,- C2 Ce -,I 4/m m m,139,3.87,3.87,6.48,97.05,1931
Ba6C60,Ba-C,Carbon,I m -3,7.0,5910076,- C2 Ba -,I 4/m m m,139,4.39,4.39,7.04,135.676,1931
C2Na1,C-Na,Carbon,P 43 3 2,5.0,1521140,- C2 Na2 -,I 41/a c d :2,142,6.778,6.778,12.74,585.292,1999
C2Na1,C-Na,Carbon,P 43 3 2,5.0,1521142,- C2 Na2 -,F m -3 m,225,6.756,6.756,6.756,308.368,1999
C2Na1,C-Na,Carbon,P 43 3 2,5.0,1526784,- C59 Na3.82 -,I 1 2/m 1,12,11.24,11.71,10.25,1341.52,2001
C2Na1,C-Na,Carbon,P 43 3 2,5.0,1531706,- C2 Na2 -,I 41/a c d :2,142,6.7572,6.7572,12.7015,579.947,2002
C2Na1,C-Na,Carbon,P 43 3 2,5.0,1531708,- C2 Na2 -,I m m m,71,4.1893,6.4007,5.3862,144.428,2002
C8Cs1,C-Cs,Carbon,P 6/m m m,0.0675,1540769,- C10 Cs -,I m -3,204,11.79,11.79,11.79,1638.86,1992
C1,C,Carbon,R -3 m,7.2,1000065,- C -,R -3 m :H,166,2.46,2.46,33.45,175.3,1966
C1,C,Carbon,R -3 m,7.2,1200017,- C -,P 63 m c,186,2.47,2.47,6.79,35.9,1924
C1,C,Carbon,R -3 m,7.2,1200018,- C -,R -3 m :R,166,3.635,3.635,3.635,17.5,1942
C1,C,Carbon,R -3 m,7.2,1200019,- C -,P 63 m c,186,2.49,2.49,4.144,22.3,1992
C1,C,Carbon,R -3 m,7.2,1531302,- C60 -,P n n m,58,14.745,9.843,9.092,1319.57,2001
Te4Ti3,Te-Ti,Chevrel,C 1 2/m 1,0.0,1008063,- Te2 Ti -,P -3 m 1,164,3.777,3.777,6.498,80.3,1981
Te4Ti3,Te-Ti,Chevrel,C 1 2/m 1,0.0,1010277,- Te2 Ti -,P -3 m 1,164,3.774,3.774,6.539,80.7,1928
Te4Ti3,Te-Ti,Chevrel,C 1 2/m 1,0.0,1522489,- Te Ti -,P 63/m m c,194,3.86,3.86,6.325,81.614,1992
Te4Ti3,Te-Ti,Chevrel,C 1 2/m 1,0.0,1539677,- Te2 Ti -,P -3 m 1,164,3.765,3.765,6.526,80.114,1949
Te4Ti3,Te-Ti,Chevrel,C 1 2/m 1,0.0,1539681,- Te Ti -,P 63/m m c,194,3.842,3.842,6.403,81.852,1949
S1.1Zr1,S-Zr,Chevrel,F d -3 m,4.5,1528094,- S3.91 Zr2.57 -,F d -3 m :2,227,10.25,10.25,10.25,1076.89,1970
S1.1Zr1,S-Zr,Chevrel,F d -3 m,4.5,1530167,- S Zr0.75 -,R -3 m :H,166,3.6295,3.6295,17.885,204.039,1987
S1.1Zr1,S-Zr,Chevrel,F d -3 m,4.5,2107379,- S2 Zr9 -,I 41/a m d :2,141,9.752,9.752,19.216,1827.47,1972
S1.1Zr1,S-Zr,Chevrel,F d -3 m,4.5,5910006,- S2 Zr -,P -3 m 1,,3.63,3.63,5.85,66.757,
S1.1Zr1,S-Zr,Chevrel,F d -3 m,4.5,9008781,- S Zr -,F m -3 m,225,5.25,5.25,5.25,144.703,1963
K1S8V6,K-S-V,Chevrel,P -3,0.71,1529696,- K0.2 S8 V6 -,P 63/m,176,9.139,9.139,3.3025,238.875,1987
K1S8V6,K-S-V,Chevrel,P -3,0.71,1539572,- K3 S4 V -,P n m a,62,9.143,10.59,9.107,881.78,1964
K1S8V6,K-S-V,Chevrel,P -3,0.71,1541673,- K0.5 S8 V5 -,P 1 2 1,3,17.462,6.556,8.4595,940.253,1984
K1S8V6,K-S-V,Chevrel,P -3,0.71,1542111,- K0.7 S8 V5 -,C 1 2/m 1,12,17.499,3.2986,8.489,475.49,1984
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,1528933,- Mo Se2 -,R 3 m :H,160,3.292,3.292,19.392,182.001,1966
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,1539630,- Mo3 Se4 -,R -3 :H,148,9.545,9.545,11.21,884.48,1973
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,2000245,- Mo15 Se19 -,R -3 c :R,,20.36,20.36,20.36,1532.2,1991
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,2310945,- Mo Se2 -,P 63/m m c,194,3.288,3.288,12.9,120.777,1963
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,4327371,- Mo9 Se11 -,P 63/m,176,9.4204,9.4204,12.1226,931.68,2004
In1K2Mo15Se19,In-K-Mo-Se,Chevrel,P 1 21/m 1,1.3,2211964,- In0.875 K2 Mo15 Se19 -,P 63/m,176,9.8076,9.8076,19.6036,1633.02,2007
S0.8Se1.2Ta1,S-Se-Ta,Chevrel,P 3 m 1,3.9,2004184,- S1.68 Se0.32 Ta3 -,A b m 2,39,7.5018,17.358,5.6204,731.9,1995
Cs2Mo6Se6,Cs-Mo-Se,Chevrel,P 63/m,0.0,9007850,- Cs5 Mo21 Se23 -,P 63/m,176,9.6513,9.6513,29.939,2415.12,1990
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1010993,- Mo S2 -,P 63/m m c,194,3.15,3.15,12.3,105.7,1923
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1011286,- Mo S2 -,P 63/m m c,194,3.14,3.14,12.53,107,1925
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1527605,- Mo2 S3 -,P 1 21/m 1,11,6.092,3.208,8.6335,164.771,1970
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1531960,- Mo S2 -,P 63/m m c,194,3.169,3.169,12.324,107.183,2002
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1534511,- Mo15 S19 -,P 63/m,176,9.1838,9.1838,19.0483,1391.33,2004
Ag1Mo6S8,Ag-Mo-S,Chevrel,R -3,7.7,1509061,- Ag0.961 Mo6 S8 -,P -1,2,6.4592,6.4469,6.459,268.607,1990
In2Mo15Se19,In-Mo-Se,Chevrel,R -3 c,1.5,2106972,- In2.9 Mo15 Se19 -,P 63/m,176,9.804,9.804,19.49,1622.37,1979
In2Mo15Se19,In-Mo-Se,Chevrel,R -3 c,1.5,2106973,- In3.3 Mo15 Se19 -,P 63/m,176,9.83,9.83,19.4,1623.45,1979
In2Mo15Se19,In-Mo-Se,Chevrel,R -3 c,1.5,2107132,- In2 Mo15 Se19 -,R -3 c :R,167,20.159,20.159,20.159,1574.32,1981
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001663,- Cu Nd O2.5 -,P b a m,55,5.596,10.29,3.806,219.2,1995
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001664,- Cu Nd O2.6 -,P 1 1 2/m,10,8.56,8.534,3.777,275.9,1995
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001665,- Cu Nd O2.93 -,P b n m,62,5.334,6.308,7.196,242.1,1995
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001671,- Cu Nd2 O3.5 -,I m m m,71,4.237,3.7675,11.917,190.2,1994
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1541026,- Cu Nd2 O3.864 -,I 4/m m m,139,3.9438,3.9438,12.1549,189.052,1989
Ce0.7Cu2Eu1.3Ru1Sr2O10,Ce-Cu-Eu-O-Ru-Sr,Cuprate,C 1 m 1,33.0,1526811,- Ce0.58 Cu2 Eu1.8 O10.024 Ru0.92 Sr1.7 -,I 4/m m m,139,3.8424,3.8424,28.559,421.646,2001
Bi1.7Ca1Cu2Pb0.3Sr2O8,Bi-Ca-Cu-O-Pb-Sr,Cuprate,C c c 2,80.5,1525659,- Bi2 Ca1.7 Cu3 O10 Pb0.3 Sr2 -,A 2 a a,37,5.402,5.419,36.957,1081.86,2000
Bi1.7Ca1Cu2Pb0.3Sr2O8,Bi-Ca-Cu-O-Pb-Sr,Cuprate,C c c 2,80.5,1540770,- Bi1.6 Ca2 Cu3 O10 Pb0.4 Sr2 -,I 4/m m m,139,3.823,3.823,37.074,541.849,1989
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1008594,- Ba2 Cu1.06 O6 Tl1.94 -,I 4/m m m,139,3.8714,3.8714,23.269,348.7,1993
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1530546,- Ba2 Cu O6 Tl2 -,A b m a,64,5.4967,5.4651,23.246,698.31,1988
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1540969,- Ba2 Cu O6 Tl2 -,I 4/m m m,139,3.85944,3.85944,23.1272,344.486,1988
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1541087,- Ba2 Cu O6.1 Tl2 -,F m m m,69,5.4604,5.4848,23.2038,694.935,1989
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1541208,- Ba2 Cu O5 Tl -,P 4/m m m,123,3.85,3.85,9.54,141.407,1990
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522243,- Ba1.85 Cu3 La0.15 O7 Y -,P m m m,47,3.8837,3.8189,11.6612,172.953,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522244,- Ba1.8 Cu3 La0.2 O7 Y -,P m m m,47,3.8851,3.8221,11.6426,172.884,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522245,- Ba1.75 Cu3 La0.25 O7 Y -,P m m m,47,3.8807,3.8245,11.6324,172.645,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522246,- Ba1.7 Cu3 La0.3 O7 Y -,P m m m,47,3.8746,3.8326,11.6167,172.506,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522247,- Ba1.6 Cu3 La0.4 O7 Y -,P m m m,47,3.8589,3.85,11.5958,172.276,1999
Ba2Cu3Eu1O6.5,Ba-Cu-Eu-O,Cuprate,F m m m,92.0,1526985,- Ba1.9 Cu3 Eu1.1 O7 -,P m m m,47,3.8406,3.8954,11.695,174.965,2000
