cell,control,h,marginal,n,partial,status,t
alpha=0.03_beta=0.0,NC1_reverse,150,0.9807074943757278,30,nan,NAN_INPUT,0
alpha=0.03_beta=0.0,NC1_reverse,150,0.9032730931227736,30,0.9483987812159345,OK,50
alpha=0.03_beta=0.0,NC1_reverse,150,0.6058004699270381,30,0.8437383400015153,OK,100
alpha=0.03_beta=0.0,NC1_reverse,150,0.7207777768919653,30,0.8579642761622964,OK,150
alpha=0.03_beta=0.0,NC1_reverse,150,0.6833205217795778,30,0.928582835291373,OK,200
alpha=0.03_beta=0.0,NC1_reverse,150,0.8589951349471249,30,0.9713787469074993,OK,250
alpha=0.03_beta=0.0,NC1_reverse,150,0.6513473712513281,30,0.8992762418477797,OK,350
alpha=0.03_beta=0.0,NC1_reverse,400,0.9977729253034624,30,nan,NAN_INPUT,0
alpha=0.03_beta=0.0,NC1_reverse,400,0.8987839443232948,30,0.9624501816350414,OK,100
alpha=0.03_beta=0.0,NC1_reverse,400,0.8399959679300357,30,0.9546395792821241,OK,200
alpha=0.03_beta=0.0,NC1_reverse,400,0.5232536449717354,30,0.9113616114590939,OK,300
alpha=0.03_beta=0.0,NC1_reverse,400,-0.2138243888016529,30,0.7676587683023438,OK,400
alpha=0.03_beta=0.0,NC1_reverse,400,-0.24103463033001699,27,0.7600836225168344,OK,500
alpha=0.03_beta=0.0,NC1_reverse,400,-0.15746219856985758,24,0.7133415326769345,OK,600
alpha=0.03_beta=0.1,NC1_reverse,150,0.7305659555654693,30,nan,NAN_INPUT,0
alpha=0.03_beta=0.1,NC1_reverse,150,0.01703126400705927,30,0.4750601949508392,OK,50
alpha=0.03_beta=0.1,NC1_reverse,150,0.18721656364066147,21,nan,UNSTABLE,100
alpha=0.03_beta=0.1,NC1_reverse,400,0.13115980887905618,21,nan,UNSTABLE,100
alpha=0.06_beta=0.0,NC1_reverse,150,0.9403527379894662,30,nan,NAN_INPUT,0
alpha=0.06_beta=0.0,NC1_reverse,150,0.7633502796701559,30,0.9178025677069348,OK,50
alpha=0.06_beta=0.0,NC1_reverse,150,0.2940663864572235,30,0.9263779166556856,OK,100
alpha=0.06_beta=0.0,NC1_reverse,150,-0.009370856017604998,30,0.7861008489121304,OK,150
alpha=0.06_beta=0.0,NC1_reverse,150,-0.1370475451662802,30,0.4878913109940052,OK,200
alpha=0.06_beta=0.0,NC1_reverse,150,-0.25069672896270767,30,0.6257446963300661,OK,250
alpha=0.06_beta=0.0,NC1_reverse,150,0.1434958402231478,30,0.38686662387383464,OK,350
alpha=0.06_beta=0.0,NC2_cross_seed_perm,150,,2000,0.2748625687156422,p_value,series
alpha=0.06_beta=0.0,NC1_reverse,400,0.056162335755298755,30,nan,UNSTABLE,100
alpha=0.06_beta=0.0,NC1_reverse,400,0.05973247784360561,30,-0.09124272354876935,OK,200
alpha=0.06_beta=0.0,NC1_reverse,400,-0.08680225244688755,30,-0.04662913222053826,OK,300
alpha=0.06_beta=0.0,NC1_reverse,400,0.03864488983728636,30,0.05085512588843251,OK,400
alpha=0.06_beta=0.0,NC2_cross_seed_perm,400,,2000,0.3683158420789605,p_value,series
alpha=0.06_beta=0.1,NC1_reverse,150,0.12163783201675547,25,nan,UNSTABLE,50
