cell,guard_passed,h,n_headroom,one_minus_rFG2,r_A_G,r_F_G,t,unguarded_partial
alpha=0.03_beta=0.0,1,150,30,0.9981006628173433,0.16857974254370733,0.043581385735847016,50,0.2832234640282107
alpha=0.03_beta=0.0,0,150,30,0.9976888846833746,0.14339585000378635,0.048074060746159886,100,0.31594271604720037
alpha=0.03_beta=0.0,0,150,30,0.9940798514349984,0.1931612900851917,0.07694250168146059,150,0.6039112943886584
alpha=0.03_beta=0.0,0,150,30,0.9969197777759675,0.07738649512320937,0.055499749765494016,200,0.10157383133592049
alpha=0.03_beta=0.0,0,150,30,0.965591930143765,0.17246837384782532,0.18549412350863023,250,-0.0681861931363418
alpha=0.03_beta=0.0,0,150,30,0.9446955305599535,0.2378678649379636,0.23516902313027235,350,0.03705848501085952
alpha=0.03_beta=0.0,0,400,30,0.9940087562049829,0.1312187005518321,0.07740312522771356,100,0.186699657793338
alpha=0.03_beta=0.0,0,400,30,0.99996866344216,-0.014920394976487908,-0.005597906558711553,200,-0.04109036487642203
alpha=0.03_beta=0.0,0,400,30,0.9134166423400809,-0.19694499936489446,-0.2942505015457393,300,0.3698011983661932
alpha=0.03_beta=0.0,0,400,30,0.4599702397657097,-0.735564816117469,-0.7348671718305902,400,-0.051599054557765436
alpha=0.03_beta=0.0,0,400,27,0.2891052316206567,-0.8448541198651874,-0.8431457574935328,500,-0.12219782482618739
alpha=0.03_beta=0.0,0,400,24,0.2723827162407203,-0.8482782507913775,-0.8530048556481257,600,-0.008312874067414782
alpha=0.03_beta=0.1,0,150,30,0.5290118086091937,-0.6237459520031946,-0.6862857942510585,50,0.27188020712316385
alpha=0.03_beta=0.1,0,150,21,0.011112734460606233,-0.9083279093329719,-0.9944281097894376,100,-0.17894949535265903
alpha=0.03_beta=0.1,0,400,21,0.0,-0.9053619313151853,-1.0,100,nan
alpha=0.06_beta=0.0,0,150,30,0.9983969273336517,0.12084751198801717,0.04003838990704157,50,0.372575037466526
alpha=0.06_beta=0.0,0,150,30,0.6863861415342243,-0.554888545613896,-0.5600123734934574,100,-0.04762941174845795
alpha=0.06_beta=0.0,1,150,30,0.2611671349502873,-0.7844745180452184,-0.859553875594609,150,0.13694688919682688
alpha=0.06_beta=0.0,0,150,30,0.17858889937220657,-0.8733159829376457,-0.9063173288797878,200,0.1997220741561869
alpha=0.06_beta=0.0,0,150,30,0.23322108795549812,-0.8120345603023171,-0.8756591300526146,250,0.32533239791041235
alpha=0.06_beta=0.0,1,150,30,0.42309038644918884,-0.35209418880499216,-0.7595456625844237,350,0.17639078184894966
alpha=0.06_beta=0.0,0,400,30,0.07715707199417698,-0.9518624444876229,-0.9606471402163351,100,-0.2437672537991334
alpha=0.06_beta=0.0,0,400,30,0.10700897786156194,-0.9183588822022509,-0.9449820221244625,200,0.1448906294049184
alpha=0.06_beta=0.0,1,400,30,0.3077106139014708,-0.7411749029807692,-0.8320392936024892,300,-0.10917423832988589
alpha=0.06_beta=0.0,1,400,30,0.21027186140235754,-0.5866384149136901,-0.8886664945848034,400,-0.1487483037890276
alpha=0.06_beta=0.1,0,150,25,0.04361137584243202,-0.9254547155669708,-0.9779512381287566,50,-0.002160910011612078
