all30_marginal_A_G,all30_marginal_F_G,all30_partial,all30_status,alpha,beta,cell,ci_hi,ci_lo,eligible,frac_at_ceiling,h,marginal_A_F,marginal_A_G,marginal_F_G,n_distinct_gain,n_headroom,n_total,partial_A_G_given_F,status,t
nan,nan,nan,NAN_INPUT,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,150,nan,nan,nan,10,30,30,nan,NAN_INPUT,0
0.16857974254370733,0.043581385735847016,0.2832234640282107,OK,0.03,0.0,alpha=0.03_beta=0.0,0.5907840559004778,-0.012490740068997312,1,0.0,150,0.8884672018820635,0.16857974254370733,0.043581385735847016,10,30,30,0.2832234640282107,OK,50
0.14339585000378635,0.048074060746159886,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,150,0.9508874585443303,0.14339585000378635,0.048074060746159886,9,30,30,nan,UNSTABLE,100
0.1931612900851917,0.07694250168146059,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,150,0.9807074943757278,0.1931612900851917,0.07694250168146059,11,30,30,nan,UNSTABLE,150
0.07738649512320937,0.055499749765494016,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,150,0.9730601334176129,0.07738649512320937,0.055499749765494016,12,30,30,nan,UNSTABLE,200
0.17246837384782532,0.18549412350863023,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,150,0.9872577154195036,0.17246837384782532,0.18549412350863023,13,30,30,nan,UNSTABLE,250
0.2378678649379636,0.23516902313027235,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,150,0.991189210159226,0.2378678649379636,0.23516902313027235,11,30,30,nan,UNSTABLE,350
nan,nan,nan,NAN_INPUT,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,400,nan,nan,nan,18,30,30,nan,NAN_INPUT,0
0.1312187005518321,0.07740312522771356,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,400,0.9508874585443303,0.1312187005518321,0.07740312522771356,13,30,30,nan,UNSTABLE,100
-0.014920394976487908,-0.005597906558711553,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,400,0.9730601334176129,-0.014920394976487908,-0.005597906558711553,14,30,30,nan,UNSTABLE,200
-0.19694499936489446,-0.2942505015457393,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,400,0.9684832920603951,-0.19694499936489446,-0.2942505015457393,14,30,30,nan,UNSTABLE,300
-0.735564816117469,-0.7348671718305902,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.0,400,0.9977729253034624,-0.735564816117469,-0.7348671718305902,13,30,30,nan,UNSTABLE,400
-0.8867222963266851,-0.8859986422545224,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.09999999999999998,400,0.9925000029315356,-0.8448541198651874,-0.8431457574935328,12,27,30,nan,UNSTABLE,500
-0.9184845505552971,-0.9246423784507234,nan,UNSTABLE,0.03,0.0,alpha=0.03_beta=0.0,,,1,0.19999999999999996,400,0.9938978518551758,-0.8482782507913775,-0.8530048556481257,11,24,30,nan,UNSTABLE,600
nan,nan,nan,NAN_INPUT,0.03,0.1,alpha=0.03_beta=0.1,,,1,0.0,150,nan,nan,nan,9,30,30,nan,NAN_INPUT,0
-0.6237459520031946,-0.6862857942510585,nan,UNSTABLE,0.03,0.1,alpha=0.03_beta=0.1,,,1,0.0,150,0.9740668923909594,-0.6237459520031946,-0.6862857942510585,12,30,30,nan,UNSTABLE,50
-0.9509824854222999,-0.9980506888225106,nan,UNSTABLE,0.03,0.1,alpha=0.03_beta=0.1,,,1,0.30000000000000004,150,0.9053619313151853,-0.9083279093329719,-0.9944281097894376,13,21,30,nan,UNSTABLE,100
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,0.6,150,,,,8,12,30,,,150
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,0.8,150,,,,3,6,30,,,200
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,0.9666666666666667,150,,,,1,1,30,,,250
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,1.0,150,,,,0,0,30,,,350
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,0.0,400,,,,1,30,30,,,0
-0.9504137993570424,-1.0,nan,UNSTABLE,0.03,0.1,alpha=0.03_beta=0.1,,,1,0.30000000000000004,400,0.9053619313151853,-0.9053619313151853,-1.0,13,21,30,nan,UNSTABLE,100
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,0.8,400,,,,3,6,30,,,200
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,0.9666666666666667,400,,,,1,1,30,,,300
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,1.0,400,,,,0,0,30,,,400
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,1.0,400,,,,0,0,30,,,500
,,,,0.03,0.1,alpha=0.03_beta=0.1,,,0,1.0,400,,,,0,0,30,,,600
nan,nan,nan,NAN_INPUT,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,150,nan,nan,nan,14,30,30,nan,NAN_INPUT,0
0.12084751198801717,0.04003838990704157,nan,UNSTABLE,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,150,0.9755685591283619,0.12084751198801717,0.04003838990704157,11,30,30,nan,UNSTABLE,50
-0.554888545613896,-0.5600123734934574,nan,UNSTABLE,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,150,0.9752801254005036,-0.554888545613896,-0.5600123734934574,12,30,30,nan,UNSTABLE,100
-0.7844745180452184,-0.859553875594609,0.13694688919682688,OK,0.06,0.0,alpha=0.06_beta=0.0,0.3819787231423442,-0.20060093201462997,1,0.0,150,0.9403527379894662,-0.7844745180452184,-0.859553875594609,12,30,30,0.13694688919682688,OK,150
-0.8733159829376457,-0.9063173288797878,nan,UNSTABLE,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,150,0.9814442222751295,-0.8733159829376457,-0.9063173288797878,12,30,30,nan,UNSTABLE,200
-0.8120345603023171,-0.8756591300526146,nan,UNSTABLE,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,150,0.9705579528233382,-0.8120345603023171,-0.8756591300526146,11,30,30,nan,UNSTABLE,250
-0.35209418880499216,-0.7595456625844237,0.17639078184894966,OK,0.06,0.0,alpha=0.06_beta=0.0,0.5688020277632376,-0.2471570252744106,1,0.0,150,0.5859652577868099,-0.35209418880499216,-0.7595456625844237,9,30,30,0.17639078184894966,OK,350
,,,,0.06,0.0,alpha=0.06_beta=0.0,,,0,0.0,400,,,,6,30,30,,,0
-0.9518624444876229,-0.9606471402163351,nan,UNSTABLE,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,400,0.9752801254005036,-0.9518624444876229,-0.9606471402163351,14,30,30,nan,UNSTABLE,100
-0.9183588822022509,-0.9449820221244625,nan,UNSTABLE,0.06,0.0,alpha=0.06_beta=0.0,,,1,0.0,400,0.9814442222751295,-0.9183588822022509,-0.9449820221244625,13,30,30,nan,UNSTABLE,200
-0.7411749029807692,-0.8320392936024892,-0.10917423832988589,OK,0.06,0.0,alpha=0.06_beta=0.0,0.5299279850277949,-0.5524071780521757,1,0.0,400,0.8527791009420455,-0.7411749029807692,-0.8320392936024892,9,30,30,-0.10917423832988589,OK,300
-0.5866384149136901,-0.8886664945848034,-0.1487483037890276,OK,0.06,0.0,alpha=0.06_beta=0.0,0.2793520018501566,-0.5656457801361431,1,0.0,400,0.5986523420608715,-0.5866384149136901,-0.8886664945848034,8,30,30,-0.1487483037890276,OK,400
,,,,0.06,0.0,alpha=0.06_beta=0.0,,,0,0.0,400,,,,7,30,30,,,500
,,,,0.06,0.0,alpha=0.06_beta=0.0,,,0,0.0,400,,,,7,30,30,,,600
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.0,150,,,,5,30,30,,,0
-0.9493084783512706,-0.9872676119009253,nan,UNSTABLE,0.06,0.1,alpha=0.06_beta=0.1,,,1,0.16666666666666663,150,0.9461705426245837,-0.9254547155669708,-0.9779512381287566,13,25,30,nan,UNSTABLE,50
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.7333333333333334,150,,,,6,8,30,,,100
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.8666666666666667,150,,,,4,4,30,,,150
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9,150,,,,2,3,30,,,200
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9,150,,,,1,3,30,,,250
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9666666666666667,150,,,,1,1,30,,,350
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.0,400,,,,2,30,30,,,0
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.7333333333333334,400,,,,6,8,30,,,100
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9,400,,,,3,3,30,,,200
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9333333333333333,400,,,,2,2,30,,,300
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9666666666666667,400,,,,1,1,30,,,400
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9666666666666667,400,,,,1,1,30,,,500
,,,,0.06,0.1,alpha=0.06_beta=0.1,,,0,0.9666666666666667,400,,,,1,1,30,,,600
