cell,kind,max_md,mean_md,min_md,n,nops_bin,spearman_gen_vs_md_within_stratum
alpha=0.03_beta=0.1,monotonicity,3.200177,0.34078907042253526,0.0,284,0,
alpha=0.03_beta=0.1,monotonicity,3.259854,2.729740318918919,0.033436,185,1,
alpha=0.03_beta=0.1,monotonicity,3.412832,3.091902739837398,1.963246,123,2,
alpha=0.03_beta=0.1,monotonicity,3.445972,3.1718387333333333,2.492791,90,3,
alpha=0.03_beta=0.1,monotonicity,3.344519,3.1612961162790696,2.881231,43,4,
alpha=0.03_beta=0.1,monotonicity,3.378234,3.1670918571428572,2.95396,14,5,
alpha=0.03_beta=0.1,within_stratum_gen_trend,,0.34078907042253526,,284,0,0.647779262230448
alpha=0.03_beta=0.1,within_stratum_gen_trend,,2.729740318918919,,185,1,0.47980509996578197
alpha=0.03_beta=0.1,within_stratum_gen_trend,,3.091902739837398,,123,2,0.1176844501357383
alpha=0.03_beta=0.1,within_stratum_gen_trend,,3.1718387333333333,,90,3,-0.2383206971355036
alpha=0.03_beta=0.1,within_stratum_gen_trend,,3.1612961162790696,,43,4,-0.17570946472574547
alpha=0.03_beta=0.1,within_stratum_gen_trend,,3.1670918571428572,,14,5,-0.08849752448922245
alpha=0.06_beta=0.1,monotonicity,3.216876,0.3426427409090909,0.0,220,0,
alpha=0.06_beta=0.1,monotonicity,3.228964,2.826466010791367,0.049747,278,1,
alpha=0.06_beta=0.1,monotonicity,3.242152,3.071624758389262,2.083876,149,2,
alpha=0.06_beta=0.1,monotonicity,3.235494,3.0880426379310344,2.772051,58,3,
alpha=0.06_beta=0.1,monotonicity,3.216081,3.1160637272727274,2.895385,22,4,
alpha=0.06_beta=0.1,monotonicity,3.19814,3.128726352941176,3.060782,17,5,
alpha=0.06_beta=0.1,within_stratum_gen_trend,,0.3426427409090909,,220,0,0.7641646428812939
alpha=0.06_beta=0.1,within_stratum_gen_trend,,2.826466010791367,,278,1,0.27017483372929596
alpha=0.06_beta=0.1,within_stratum_gen_trend,,3.071624758389262,,149,2,0.06797347067808307
alpha=0.06_beta=0.1,within_stratum_gen_trend,,3.0880426379310344,,58,3,0.010788853795724538
alpha=0.06_beta=0.1,within_stratum_gen_trend,,3.1160637272727274,,22,4,0.18148850216015694
alpha=0.06_beta=0.1,within_stratum_gen_trend,,3.128726352941176,,17,5,0.25458907331786323
